hgnc_symbol	mim_morbid
ARHGEF19	NA
ARHGEF2	NA
ARHGEF25	NA
ARHGEF26	NA
ARHGEF28	NA
ARHGEF3	NA
ARHGEF33	NA
ARHGEF35	NA
ARHGEF37	NA
ARHGEF38	NA
ARHGEF39	NA
ARHGEF4	NA
ARHGEF40	NA
ARHGEF5	NA
ARHGEF6	300436
ARHGEF7	NA
ARHGEF9	300607
ARID1A	614607
ARID1B	135900
ARID2	NA
ARID3A	NA
ARID3B	NA
ARID4A	NA
ARID4B	NA
ARID5A	NA
ARID5B	NA
ARIH1	NA
ARIH2	NA
ARL1	NA
ARL10	NA
ARL11	NA
ARL13A	NA
ARL13B	612291
ARL14	NA
ARL14EP	NA
ARL15	NA
ARL16	NA
ARL17A	NA
ARL17B	NA
ARL2	NA
ARL2BP	615434
ARL3	NA
ARL4A	NA
ARL4C	NA
ARL4D	NA
ARL5A	NA
ARL6	NA
ARL6IP1	615685
ARL6IP4	NA
ARL6IP5	NA
ARL6IP6	NA
ARL8A	NA
ARL8B	NA
ARMC1	NA
ARMC10	NA
ARMC12	NA
ARMC3	NA
ARMC6	NA
ARMC7	NA
ARMC8	NA
ARMC9	NA
ARMCX1	NA
ARMCX2	NA
ARMCX3	NA
ARMCX4	NA
ARMCX5	NA
ARMT1	NA
ARNT	NA
ARNT2	615926
ARNTL	NA
ARNTL2	NA
ARPC1A	NA
ARPC1B	NA
ARPC2	NA
ARPC3	NA
ARPC4	NA
ARPC5	NA
ARPC5L	NA
ARPIN	NA
ARPP19	NA
ARPP21	NA
ARR3	NA
ARRB1	NA
ARRB2	NA
ARRDC1	NA
ARRDC2	NA
ARRDC3	NA
ARRDC4	NA
ARRDC5	NA
ARSA	250100
ARSB	253200
ARSD	NA
ARSE	NA
ARSF	NA
ARSG	NA
ARSH	NA
ARSI	NA
ARSJ	NA
ARSK	NA
ART1	NA
ART3	NA
ART4	616060
ARTN	NA
ARV1	617020
ARVCF	NA
AS3MT	NA
ASAH1	228000
ASAH1	159950
ASAH2	NA
ASAH2B	NA
ASAP1	NA
ASAP2	NA
ASAP3	NA
ASB1	NA
ASB10	603383
ASB11	NA
ASB12	NA
ASB13	NA
ASB14	NA
ASB15	NA
ASB16	NA
ASB16-AS1	NA
ASB17	NA
ASB18	NA
ASB2	NA
ASB3	NA
ASB4	NA
ASB5	NA
ASB6	NA
ASB7	NA
ASB8	NA
ASB9	NA
ASCC1	616867
ASCC1	614266
ASCC2	NA
ASCC3	NA
ASCL1	209880
ASCL3	NA
ASCL4	NA
ASF1A	NA
ASF1B	NA
ASGR1	NA
ASGR2	NA
ASH1L	NA
ASH2L	NA
ASIC1	NA
ASIC2	NA
ASIC3	NA
ASIC4	NA
ASIC5	NA
ASIP	611742
ASL	207900
ASMT	NA
ASMTL	NA
ASNA1	NA
ASNS	615574
ASNSD1	NA
ASPA	271900
ASPG	NA
ASPH	NA
ASPHD1	NA
ASPM	608716
ASPN	607850
ASPN	603932
ASPRV1	NA
ASPSCR1	606243
ASRGL1	NA
ASS1	NA
ASTE1	NA
ASTN1	NA
ASUN	NA
ASXL1	NA
ASXL2	NA
ASXL3	615485
ASZ1	NA
ATAD2	NA
ATAD2B	NA
ATAD3A	NA
ATAD3B	NA
ATAD5	NA
ATAT1	NA
ATCAY	601238
ATE1	NA
ATF1	NA
ATF2	NA
ATF3	NA
ATF4	NA
ATF5	NA
ATF6	616517
ATF6B	NA
ATF7	NA
ATF7IP	NA
ATF7IP2	NA
ATG10	NA
ATG101	NA
ATG12	NA
ATG13	NA
ATG14	NA
ATG16L1	611081
ATG16L2	NA
ATG2A	NA
ATG3	NA
ATG4A	NA
ATG4B	NA
ATG4C	NA
ATG4D	NA
ATG5	NA
ATG7	NA
ATG9A	NA
ATG9B	NA
ATIC	608688
ATL2	NA
ATL3	615632
ATM	NA
ATMIN	NA
ATN1	125370
ATOH1	NA
ATOH8	NA
ATOX1	NA
ATP10A	NA
ATP10B	NA
ATP11AUN	NA
ATP11B	NA
ATP12A	NA
ATP13A1	NA
ATP13A2	606693
ATP13A3	NA
ATP1A1	NA
ATP1A2	602481
ATP1A2	104290
ATP1A3	614820
ATP1A3	601338
ATP1A3	128235
ATP1A4	NA
ATP1B1	145500
ATP1B2	NA
ATP1B3	NA
ATP1B4	NA
ATP23	NA
ATP2A1	601003
ATP2A2	NA
ATP2A3	NA
ATP2B1	NA
ATP2B2	NA
ATP2B3	NA
ATP2B4	NA
ATP2C1	NA
ATP2C2	NA
ATP4A	NA
ATP4B	NA
ATP5A1	616045
ATP5A1	615228
ATP5B	NA
ATP5C1	NA
ATP5D	NA
ATP5E	614053
ATP5EP2	NA
ATP5F1	NA
ATP5G1	NA
ATP5G2	NA
ATP5G3	NA
ATP5H	NA
ATP5I	NA
ATP5J	NA
ATP5J2	NA
ATP5J2-PTCD1	NA
ATP5L	NA
ATP5O	NA
ATP5S	NA
ATP6AP1	300972
ATP6AP2	300911
ATP6AP2	300423
ATP6V0A1	NA
ATP6V0A2	278250
ATP6V0A2	219200
ATP6V0A4	602722
ATP6V0B	NA
ATP6V0C	NA
ATP6V0D1	NA
ATP6V0D2	NA
ATP6V0E1	NA
ATP6V0E2	NA
ATP6V1A	NA
ATP6V1B1	267300
ATP6V1B2	616455
ATP6V1B2	124480
ATP6V1C1	NA
ATP6V1C2	NA
ATP6V1D	NA
ATP6V1E1	NA
ATP6V1E2	NA
ATP6V1F	NA
ATP6V1G1	NA
ATP6V1G2	NA
ATP6V1G3	NA
ATP6V1H	NA
ATP7A	309400
ATP7A	304150
ATP7A	300489
ATP7B	277900
ATP8A2	615268
ATP8B1	243300
ATP8B1	211600
ATP8B1	147480
ATP8B4	NA
ATPAF1	NA
ATPAF2	604273
ATPIF1	NA
ATR	614564
ATR	210600
ATRAID	NA
ATRIP	NA
ATRN	NA
ATRNL1	NA
ATRX	309580
ATRX	301040
ATRX	300504
ATRX	300448
ATXN1	164400
ATXN10	603516
ATXN1L	NA
ATXN2	183090
ATXN2	168600
ATXN2L	NA
ATXN3	109150
ATXN3L	NA
ATXN7	164500
ATXN7L1	NA
ATXN7L2	NA
ATXN7L3	NA
AUH	250950
AUNIP	NA
AUP1	NA
AURKA	NA
AURKAIP1	NA
AURKB	NA
AURKC	243060
AUTS2	615834
AVEN	NA
AVIL	NA
AVP	125700
AVPI1	NA
AVPR1A	NA
AVPR1B	NA
AVPR2	304800
AVPR2	300539
AWAT1	NA
AWAT2	NA
AXIN1	607864
AXIN1	114550
AXIN2	608615
AXL	NA
AZGP1	NA
AZI2	NA
AZIN1	NA
AZIN2	NA
AZU1	NA
B2M	241600
B2M	105200
B3GALNT1	615021
B3GALNT1	111400
B3GALNT2	615181
B3GALT1	NA
B3GALT2	NA
B3GALT4	NA
B3GALT5	NA
B3GALT6	615349
B3GALT6	271640
B3GAT1	NA
B3GAT2	NA
B3GAT3	245600
B3GLCT	261540
B3GNT2	NA
B3GNT3	NA
B3GNT4	NA
B3GNT5	NA
B3GNT6	NA
B3GNT7	NA
B3GNT8	NA
B3GNT9	NA
B3GNTL1	NA
B4GALNT1	NA
B4GALNT2	NA
B4GALT1	607091
B4GALT2	NA
B4GALT3	NA
B4GALT4	NA
B4GALT5	NA
B4GALT6	NA
B4GALT7	130070
B4GAT1	615287
B9D1	617120
B9D1	614209
B9D2	614175
BAALC	NA
BAALC-AS2	NA
BAAT	607748
BABAM1	NA
BACE1	NA
BACE2	NA
BACH1	NA
BACH2	NA
BAD	NA
BAG1	NA
BAG2	NA
BAG3	613881
BAG3	612954
BAG4	NA
BAG5	NA
BAG6	NA
BAHCC1	NA
BAHD1	NA
BAIAP2	NA
BAIAP2L1	NA
BAIAP3	NA
BAK1	NA
BAMBI	NA
BANF1	614008
BANK1	152700
BANP	NA
BAP1	614327
BARD1	114480
BARHL1	NA
BARHL2	NA
BARX1	NA
BARX2	NA
BASP1	NA
BATF	NA
BATF2	NA
BATF3	NA
BAX	NA
BAZ1A	NA
BAZ1B	NA
BAZ2A	NA
BAZ2B	NA
BBC3	NA
BBIP1	615995
BBOF1	NA
BBOX1	NA
BBS1	209900
BBS10	615987
BBS12	615989
BBS2	616562
BBS2	615981
BBS4	615982
BBS4	209900
BBS5	615983
BBS7	615984
BBS9	615986
BBX	NA
BCAM	247420
BCAM	111200
BCAN	600347
BCAP29	NA
BCAP31	300475
BCAR1	NA
BCAR3	NA
BCAS1	NA
BCAS2	NA
BCAS3	NA
BCAT1	NA
BCAT2	NA
BCCIP	NA
BCDIN3D	NA
BCHE	NA
BCKDHA	248600
BCKDHB	248600
BCKDK	614923
BCL10	616098
BCL10	613024
BCL10	605027
BCL10	273300
BCL10	156240
BCL10	137245
BCL11A	NA
BCL11B	NA
BCL2	NA
BCL2A1	NA
BCL2L1	NA
BCL2L10	NA
BCL2L11	NA
BCL2L12	NA
BCL2L13	NA
BCL2L14	NA
BCL2L15	NA
BCL2L2	NA
BCL3	NA
BCL6	NA
BCL6B	NA
BCL7A	NA
BCL7B	NA
BCL7C	NA
BCL9	NA
BCL9L	NA
BCLAF1	NA
BCO1	115300
BCO2	NA
BCOR	NA
BCORL1	NA
BCR	613065
BCR	608232
BCS1L	603358
BCS1L	262000
BCS1L	256000
BCS1L	124000
BDH1	NA
BDH2	NA
BDKRB1	NA
BDKRB2	NA
BDNF	610269
BDNF	607499
BDNF	209880
BDNF	164230
BDP1	NA
BEAN1	117210
BECN1	NA
BECN2	NA
BEGAIN	NA
BEND2	NA
BEND3	NA
BEND5	NA
BEND7	NA
BEST1	613194
BEST1	611809
BEST1	193220
BEST1	153700
BEST2	NA
BEST3	NA
BEST4	NA
BET1	NA
BET1L	NA
BEX1	NA
BEX2	NA
BEX3	NA
BEX4	NA
BEX5	NA
BFAR	NA
BFSP1	611391
BFSP2	611597
BGLAP	NA
BGN	300106
BHLHA9	609432
BHLHA9	607539
BHLHB9	NA
